uri,get_query,post_data,method,label
/api/users,theme=dark,username=john&password=pass123,POST,Valid
/blog/post.php,,,GET,Valid
/index.php,,,GET,Valid
/admin/users.php,q=hello+world,title=Hello&body=World,POST,Valid
/static/js/app.js,page=1&limit=10,title=Hello&body=World,POST,Valid
/home.php,category=tech&sort=date,email=test@example.com&name=John,POST,Valid
/register.php,,,GET,Valid
/news/article.php,q=hello+world,,GET,Valid
/dashboard.php,,,GET,Valid
/news/article.php,,,GET,Valid
/register.php,id=2&name=product,comment=Nice+post&post_id=3,POST,Valid
/products.php,username=john&remember=1,,GET,Valid
/sitemap.xml,offset=0&count=20,product_id=5&qty=2,POST,Valid
/api/orders,id=2&name=product,,GET,Valid
/search.php,,,GET,Valid
/cart.php,,email=test@example.com&name=John,POST,Valid
/products.php,,product_id=5&qty=2,POST,Valid
/admin/panel.php,,,GET,Valid
/admin/panel.php,id=1&lang=en,,GET,Valid
/news/article.php,user=john&role=admin,,GET,Valid
/news/article.php,id=5,user=ayad&pwd=mypass,POST,Valid
/shop/item,lang=ar,username=admin&password=adminpass,POST,Valid
/about.php,theme=dark,username=john&password=pass123,POST,Valid
/user/settings,,,GET,Valid
/admin/panel.php,theme=dark,,GET,Valid
/favicon.ico,user=john&role=admin,,GET,Valid
/products.php,,,GET,Valid
/index.html,id=5,,GET,Valid
/api/orders,,user=ayad&pwd=mypass,POST,Valid
/favicon.ico,,,GET,Valid
/register.php,theme=dark,,GET,Valid
/api/orders,id=2&name=product,email=test@example.com&name=John,POST,Valid
/contact.php,q=hello+world,title=Hello&body=World,POST,Valid
/favicon.ico,id=1,,GET,Valid
/static/css/main.css,lang=ar,email=test@example.com&name=John,POST,Valid
/user/settings,user=john&role=admin,,GET,Valid
/register.php,page=1&limit=10,,GET,Valid
/search.php,lang=ar,title=Hello&body=World,POST,Valid
/static/css/main.css,,username=admin&password=adminpass,POST,Valid
/about.php,token=abc123,,GET,Valid
/favicon.ico,id=5,user=ayad&pwd=mypass,POST,Valid
/favicon.ico,user=john&role=admin,,GET,Valid
/contact.php,id=1,,GET,Valid
/favicon.ico,,product_id=5&qty=2,POST,Valid
/search.php,,,GET,Valid
/api/users,page=1&limit=10,login=john&pass=secret123,POST,Valid
/login.php,,,GET,Valid
/user/settings,id=5,login=john&pass=secret123,POST,Valid
/index.html,offset=0&count=20,product_id=5&qty=2,POST,Valid
/checkout.php,filter=active,,GET,Valid
/api/v2/data,filter=active,,GET,Valid
/home.php,id=5,,GET,Valid
/contact.php,id=2&name=product,,GET,Valid
/dashboard.php,id=2&name=product,,GET,Valid
/index.html,username=john&remember=1,,GET,Valid
/robots.txt,id=2&name=product,user=ayad&pwd=mypass,POST,Valid
/index.html,page=about,,GET,Valid
/index.html,theme=dark,,GET,Valid
/shop/checkout,,,GET,Valid
/api/v2/data,username=john&remember=1,,GET,Valid
/logout.php,,username=john&password=pass123,POST,Valid
/register.php,page=about,,GET,Valid
/assets/style.css,id=1&lang=en,product_id=5&qty=2,POST,Valid
/assets/style.css,id=5,,GET,Valid
/logout.php,,comment=Nice+post&post_id=3,POST,Valid
/login.php,id=1,,GET,Valid
/settings.php,theme=dark,,GET,Valid
/sitemap.xml,,email=test@example.com&name=John,POST,Valid
/dashboard.php,page=about,,GET,Valid
/admin/users.php,filter=active,,GET,Valid
/shop/item,id=2&name=product,username=john&password=pass123,POST,Valid
/home.php,theme=dark,,GET,Valid
/search.php,id=1&lang=en,login=john&pass=secret123,POST,Valid
/contact.php,,,GET,Valid
/search.php,id=2&name=product,,GET,Valid
/cart.php,q=hello+world,email=test@example.com&name=John,POST,Valid
/blog/post.php,,,GET,Valid
/search.php,id=1,username=admin&password=adminpass,POST,Valid
/about.php,page=1&limit=10,,GET,Valid
/admin/users.php,,username=admin&password=adminpass,POST,Valid
/checkout.php,id=2&name=product,,GET,Valid
/index.php,q=hello+world,,GET,Valid
/assets/style.css,,,GET,Valid
/static/js/app.js,token=abc123,,GET,Valid
/api/v2/data,,username=john&password=pass123,POST,Valid
/checkout.php,id=5,,GET,Valid
/user/settings,lang=ar,,GET,Valid
/home.php,user=john&role=admin,email=test@example.com&name=John,POST,Valid
/login.php,id=1&lang=en,,GET,Valid
/user/settings,token=abc123,,GET,Valid
/products.php,page=about,,GET,Valid
/shop/checkout,,,GET,Valid
/index.php,,user=ayad&pwd=mypass,POST,Valid
/shop/cart,id=1&lang=en,title=Hello&body=World,POST,Valid
/settings.php,page=about,,GET,Valid
/shop/item,id=1&lang=en,,GET,Valid
/static/css/main.css,,,GET,Valid
/shop/item,username=john&remember=1,,GET,Valid
/profile.php,,,GET,Valid
/favicon.ico,,,GET,Valid
/contact.php,filter=active,username=john&password=pass123,POST,Valid
/profile.php,offset=0&count=20,,GET,Valid
/assets/style.css,id=2&name=product,email=test@example.com&name=John,POST,Valid
/home.php,theme=dark,,GET,Valid
/shop/checkout,user=john&role=admin,login=john&pass=secret123,POST,Valid
/assets/style.css,,title=Hello&body=World,POST,Valid
/products.php,,,GET,Valid
/api/v1/auth/token,token=abc123,,GET,Valid
/api/products,token=abc123,,GET,Valid
/shop/checkout,,,GET,Valid
/api/v2/data,page=about,,GET,Valid
/home.php,,user=ayad&pwd=mypass,POST,Valid
/api/users,,,GET,Valid
/api/products,id=2&name=product,,GET,Valid
/dashboard.php,user=john&role=admin,title=Hello&body=World,POST,Valid
/login.php,page=1&limit=10,comment=Nice+post&post_id=3,POST,Valid
/api/v2/data,,email=test@example.com&name=John,POST,Valid
/settings.php,offset=0&count=20,title=Hello&body=World,POST,Valid
/about.php,token=abc123,user=ayad&pwd=mypass,POST,Valid
/assets/logo.png,id=1&lang=en,,GET,Valid
/user/profile,id=2&name=product,,GET,Valid
/logout.php,offset=0&count=20,,GET,Valid
/shop/cart,offset=0&count=20,,GET,Valid
/search.php,id=1&lang=en,username=admin&password=adminpass,POST,Valid
/api/v1/auth/token,username=john&remember=1,,GET,Valid
/cart.php,page=about,,GET,Valid
/settings.php,offset=0&count=20,,GET,Valid
/shop/item,,,GET,Valid
/register.php,,product_id=5&qty=2,POST,Valid
/settings.php,id=1&lang=en,,GET,Valid
/user/settings,id=5,title=Hello&body=World,POST,Valid
/user/settings,id=1,,GET,Valid
/admin/panel.php,,,GET,Valid
/blog/post.php,id=2&name=product,,GET,Valid
/user/profile,lang=ar,,GET,Valid
/admin/panel.php,,,GET,Valid
/home.php,token=abc123,username=admin&password=adminpass,POST,Valid
/home.php,username=john&remember=1,username=john&password=pass123,POST,Valid
/login.php,offset=0&count=20,username=john&password=pass123,POST,Valid
/api/orders,username=john&remember=1,title=Hello&body=World,POST,Valid
/index.php,username=john&remember=1,comment=Nice+post&post_id=3,POST,Valid
/login.php,category=tech&sort=date,,GET,Valid
/api/orders,id=1,,GET,Valid
/assets/logo.png,filter=active,,GET,Valid
/api/v1/auth/token,,,GET,Valid
/about.php,lang=ar,,GET,Valid
/user/profile,,email=test@example.com&name=John,POST,Valid
/logout.php,category=tech&sort=date,,GET,Valid
/assets/logo.png,lang=ar,title=Hello&body=World,POST,Valid
/shop/checkout,id=1&lang=en,,GET,Valid
/settings.php,filter=active,,GET,Valid
/about.php,,,GET,Valid
/checkout.php,username=john&remember=1,,GET,Valid
/contact.php,filter=active,user=ayad&pwd=mypass,POST,Valid
/settings.php,id=1&lang=en,email=test@example.com&name=John,POST,Valid
/cart.php,id=1,,GET,Valid
/user/settings,theme=dark,,GET,Valid
/sitemap.xml,,user=ayad&pwd=mypass,POST,Valid
/shop/checkout,user=john&role=admin,,GET,Valid
/index.html,theme=dark,,GET,Valid
/shop/item,theme=dark,,GET,Valid
/about.php,id=1,,GET,Valid
/static/css/main.css,category=tech&sort=date,login=john&pass=secret123,POST,Valid
/static/css/main.css,theme=dark,login=john&pass=secret123,POST,Valid
/assets/style.css,,,GET,Valid
/admin/panel.php,lang=ar,,GET,Valid
/user/profile,offset=0&count=20,,GET,Valid
/blog/post.php,id=1&lang=en,,GET,Valid
/home.php,page=1&limit=10,,GET,Valid
/static/js/app.js,,comment=Nice+post&post_id=3,POST,Valid
/search.php,,username=john&password=pass123,POST,Valid
/robots.txt,offset=0&count=20,username=john&password=pass123,POST,Valid
/api/products,,,GET,Valid
/robots.txt,theme=dark,,GET,Valid
/admin/users.php,page=about,,GET,Valid
/checkout.php,category=tech&sort=date,,GET,Valid
/checkout.php,filter=active,email=test@example.com&name=John,POST,Valid
/profile.php,,email=test@example.com&name=John,POST,Valid
/user/profile,filter=active,username=admin&password=adminpass,POST,Valid
/user/profile,q=hello+world,title=Hello&body=World,POST,Valid
/favicon.ico,page=about,,GET,Valid
/favicon.ico,,,GET,Valid
/logout.php,,,GET,Valid
/checkout.php,,,GET,Valid
/login.php,id=2&name=product,username=admin&password=adminpass,POST,Valid
/api/products,,,GET,Valid
/index.html,,,GET,Valid
/api/v2/data,id=5,,GET,Valid
/cart.php,page=1&limit=10,product_id=5&qty=2,POST,Valid
/shop/checkout,theme=dark,,GET,Valid
/user/profile,lang=ar,,GET,Valid
/index.php,theme=dark,,GET,Valid
/robots.txt,,comment=Nice+post&post_id=3,POST,Valid
/contact.php,username=john&remember=1,,GET,Valid
/about.php,id=5,username=john&password=pass123,POST,Valid
/api/v1/auth/token,offset=0&count=20,,GET,Valid
/profile.php,,title=Hello&body=World,POST,Valid
/about.php,,,GET,Valid
/static/js/app.js,id=1,,GET,Valid
/profile.php,lang=ar,username=admin&password=adminpass,POST,Valid
/index.php,id=1&lang=en,comment=Nice+post&post_id=3,POST,Valid
/logout.php,id=1&lang=en,,GET,Valid
/user/settings,id=5,,GET,Valid
/blog/post.php,lang=ar,email=test@example.com&name=John,POST,Valid
/static/js/app.js,filter=active,,GET,Valid
/products.php,,email=test@example.com&name=John,POST,Valid
/admin/panel.php,category=tech&sort=date,,GET,Valid
/index.html,offset=0&count=20,,GET,Valid
/user/profile,user=john&role=admin,username=john&password=pass123,POST,Valid
/static/js/app.js,q=hello+world,,GET,Valid
/login.php,username=john&remember=1,,GET,Valid
/favicon.ico,q=hello+world,,GET,Valid
/contact.php,q=hello+world,username=admin&password=adminpass,POST,Valid
/api/users,q=hello+world,user=ayad&pwd=mypass,POST,Valid
/checkout.php,category=tech&sort=date,,GET,Valid
/shop/item,id=5,,GET,Valid
/static/js/app.js,,,GET,Valid
/user/settings,username=john&remember=1,,GET,Valid
/login.php,lang=ar,,GET,Valid
/api/orders,page=1&limit=10,username=john&password=pass123,POST,Valid
/admin/panel.php,,,GET,Valid
/register.php,filter=active,,GET,Valid
/api/orders,page=1&limit=10,,GET,Valid
/login.php,category=tech&sort=date,username=admin&password=adminpass,POST,Valid
/register.php,theme=dark,product_id=5&qty=2,POST,Valid
/blog/post.php,,username=john&password=pass123,POST,Valid
/api/products,id=1&lang=en,,GET,Valid
/search.php,,comment=Nice+post&post_id=3,POST,Valid
/products.php,,,GET,Valid
/sitemap.xml,id=1,,GET,Valid
/static/js/app.js,offset=0&count=20,,GET,Valid
/logout.php,user=john&role=admin,login=john&pass=secret123,POST,Valid
/api/orders,q=hello+world,,GET,Valid
/dashboard.php,user=john&role=admin,,GET,Valid
/api/v1/auth/token,id=2&name=product,,GET,Valid
/api/v2/data,user=john&role=admin,,GET,Valid
/cart.php,,login=john&pass=secret123,POST,Valid
/index.html,lang=ar,,GET,Valid
/home.php,username=john&remember=1,,GET,Valid
/blog/post.php,q=hello+world,,GET,Valid
/robots.txt,id=5,,GET,Valid
/admin/panel.php,page=1&limit=10,title=Hello&body=World,POST,Valid
/about.php,user=john&role=admin,,GET,Valid
/api/products,lang=ar,,GET,Valid
/register.php,,username=john&password=pass123,POST,Valid
/api/v1/auth/token,q=hello+world,,GET,Valid
/search.php,q=hello+world,,GET,Valid
/api/v1/auth/token,id=2&name=product,,GET,Valid
/admin/panel.php,offset=0&count=20,,GET,Valid
/user/settings,theme=dark,,GET,Valid
/dashboard.php,filter=active,,GET,Valid
/api/products,filter=active,,GET,Valid
/shop/cart,,login=john&pass=secret123,POST,Valid
/sitemap.xml,id=1,,GET,Valid
/static/css/main.css,username=john&remember=1,login=john&pass=secret123,POST,Valid
/blog/post.php,page=about,product_id=5&qty=2,POST,Valid
/settings.php,id=2&name=product,,GET,Valid
/search.php,page=1&limit=10,,GET,Valid
/sitemap.xml,,login=john&pass=secret123,POST,Valid
/admin/users.php,page=about,,GET,Valid
/static/js/app.js,,,GET,Valid
/cart.php,filter=active,,GET,Valid
/user/settings,token=abc123,,GET,Valid
/products.php,offset=0&count=20,,GET,Valid
/news/article.php,,product_id=5&qty=2,POST,Valid
/index.html,id=1&lang=en,,GET,Valid
/api/v2/data,lang=ar,,GET,Valid
/api/v2/data,,,GET,Valid
/blog/post.php,page=1&limit=10,,GET,Valid
/user/settings,,,GET,Valid
/admin/panel.php,,product_id=5&qty=2,POST,Valid
/admin/users.php,username=john&remember=1,title=Hello&body=World,POST,Valid
/settings.php,id=5,title=Hello&body=World,POST,Valid
/robots.txt,token=abc123,user=ayad&pwd=mypass,POST,Valid
/admin/panel.php,id=2&name=product,comment=Nice+post&post_id=3,POST,Valid
/profile.php,category=tech&sort=date,,GET,Valid
/static/css/main.css,id=1,,GET,Valid
/api/v1/auth/token,id=1,,GET,Valid
/shop/cart,page=about,,GET,Valid
/robots.txt,,,GET,Valid
/user/settings,id=1&lang=en,,GET,Valid
/blog/post.php,lang=ar,login=john&pass=secret123,POST,Valid
/user/profile,,title=Hello&body=World,POST,Valid
/index.php,offset=0&count=20,user=ayad&pwd=mypass,POST,Valid
/cart.php,token=abc123,,GET,Valid
/logout.php,,product_id=5&qty=2,POST,Valid
/api/orders,user=john&role=admin,comment=Nice+post&post_id=3,POST,Valid
/user/profile,id=2&name=product,product_id=5&qty=2,POST,Valid
/profile.php,page=1&limit=10,,GET,Valid
/about.php,token=abc123,,GET,Valid
/about.php,token=abc123,,GET,Valid
/register.php,,product_id=5&qty=2,POST,Valid
/profile.php,category=tech&sort=date,,GET,Valid
/api/v2/data,username=john&remember=1,product_id=5&qty=2,POST,Valid
/products.php,page=1&limit=10,product_id=5&qty=2,POST,Valid
/blog/post.php,category=tech&sort=date,,GET,Valid
/assets/style.css,q=hello+world,,GET,Valid
/static/css/main.css,id=5,,GET,Valid
/settings.php,theme=dark,,GET,Valid
/api/v2/data,lang=ar,,GET,Valid
/api/users,,username=admin&password=adminpass,POST,Valid
/about.php,,email=test@example.com&name=John,POST,Valid
/blog/post.php,q=hello+world,username=john&password=pass123,POST,Valid
/api/users,page=1&limit=10,username=john&password=pass123,POST,Valid
/sitemap.xml,filter=active,user=ayad&pwd=mypass,POST,Valid
/sitemap.xml,id=1&lang=en,,GET,Valid
/blog/post.php,lang=ar,email=test@example.com&name=John,POST,Valid
/shop/item,user=john&role=admin,comment=Nice+post&post_id=3,POST,Valid
/admin/panel.php,theme=dark,,GET,Valid
/contact.php,username=john&remember=1,product_id=5&qty=2,POST,Valid
/logout.php,,,GET,Valid
/news/article.php,id=2&name=product,user=ayad&pwd=mypass,POST,Valid
/logout.php,,,GET,Valid
/about.php,,product_id=5&qty=2,POST,Valid
/search.php,,,GET,Valid
/index.html,,,GET,Valid
/user/profile,,,GET,Valid
/api/products,,username=john&password=pass123,POST,Valid
/api/v2/data,,comment=Nice+post&post_id=3,POST,Valid
/blog/post.php,token=abc123,,GET,Valid
/admin/panel.php,id=1&lang=en,,GET,Valid
/admin/panel.php,lang=ar,,GET,Valid
/logout.php,username=john&remember=1,user=ayad&pwd=mypass,POST,Valid
/register.php,id=1,,GET,Valid
/contact.php,,,GET,Valid
/news/article.php,page=about,username=john&password=pass123,POST,Valid
/profile.php,id=2&name=product,title=Hello&body=World,POST,Valid
/index.php,,username=john&password=pass123,POST,Valid
/admin/panel.php,offset=0&count=20,title=Hello&body=World,POST,Valid
/register.php,id=1,,GET,Valid
/contact.php,id=1,,GET,Valid
/static/css/main.css,,product_id=5&qty=2,POST,Valid
/api/products,category=tech&sort=date,username=admin&password=adminpass,POST,Valid
/api/v2/data,category=tech&sort=date,title=Hello&body=World,POST,Valid
/user/settings,page=1&limit=10,,GET,Valid
/admin/users.php,category=tech&sort=date,,GET,Valid
/news/article.php,id=1&lang=en,,GET,Valid
/static/css/main.css,token=abc123,login=john&pass=secret123,POST,Valid
/assets/style.css,,,GET,Valid
/admin/users.php,username=john&remember=1,login=john&pass=secret123,POST,Valid
/api/orders,,,GET,Valid
/static/js/app.js,q=hello+world,,GET,Valid
/profile.php,,,GET,Valid
/settings.php,q=hello+world,,GET,Valid
/search.php,id=2&name=product,product_id=5&qty=2,POST,Valid
/home.php,filter=active,,GET,Valid
/assets/logo.png,,,GET,Valid
/shop/cart,id=5,,GET,Valid
/search.php,id=2&name=product,user=ayad&pwd=mypass,POST,Valid
/checkout.php,filter=active,,GET,Valid
/news/article.php,,,GET,Valid
/contact.php,,,GET,Valid
/api/products,category=tech&sort=date,,GET,Valid
/checkout.php,lang=ar,,GET,Valid
/about.php,q=hello+world,username=admin&password=adminpass,POST,Valid
/news/article.php,page=1&limit=10,,GET,Valid
/news/article.php,page=about,,GET,Valid
/logout.php,user=john&role=admin,username=admin&password=adminpass,POST,Valid
/robots.txt,category=tech&sort=date,,GET,Valid
/api/orders,,user=ayad&pwd=mypass,POST,Valid
/api/v1/auth/token,,,GET,Valid
/api/products,category=tech&sort=date,email=test@example.com&name=John,POST,Valid
/checkout.php,id=1,email=test@example.com&name=John,POST,Valid
/news/article.php,id=5,,GET,Valid
/user/settings,category=tech&sort=date,,GET,Valid
/blog/post.php,,,GET,Valid
/blog/post.php,,,GET,Valid
/contact.php,page=1&limit=10,email=test@example.com&name=John,POST,Valid
/shop/item,id=2&name=product,comment=Nice+post&post_id=3,POST,Valid
/index.html,id=1,,GET,Valid
/cart.php,user=john&role=admin,,GET,Valid
/user/settings,offset=0&count=20,username=john&password=pass123,POST,Valid
/shop/cart,id=2&name=product,,GET,Valid
/static/css/main.css,theme=dark,user=ayad&pwd=mypass,POST,Valid
/dashboard.php,,,GET,Valid
/static/css/main.css,,,GET,Valid
/api/users,id=1,,GET,Valid
/api/v1/auth/token,offset=0&count=20,,GET,Valid
/user/profile,filter=active,product_id=5&qty=2,POST,Valid
/search.php,offset=0&count=20,product_id=5&qty=2,POST,Valid
/index.html,filter=active,,GET,Valid
/api/products,lang=ar,user=ayad&pwd=mypass,POST,Valid
/api/v1/auth/token,id=1,login=john&pass=secret123,POST,Valid
/sitemap.xml,token=abc123,,GET,Valid
/api/v1/auth/token,filter=active,user=ayad&pwd=mypass,POST,Valid
/cart.php,username=john&remember=1,username=john&password=pass123,POST,Valid
/products.php,id=2&name=product,,GET,Valid
/checkout.php,username=john&remember=1,,GET,Valid
/shop/checkout,,,GET,Valid
/contact.php,id=5,username=admin&password=adminpass,POST,Valid
/static/css/main.css,,,GET,Valid
/news/article.php,user=john&role=admin,,GET,Valid
/admin/panel.php,token=abc123,,GET,Valid
/assets/logo.png,filter=active,,GET,Valid
/api/orders,,comment=Nice+post&post_id=3,POST,Valid
/checkout.php,id=2&name=product,,GET,Valid
/api/v2/data,theme=dark,,GET,Valid
/favicon.ico,username=john&remember=1,,GET,Valid
/sitemap.xml,,,GET,Valid
/checkout.php,id=1&lang=en,user=ayad&pwd=mypass,POST,Valid
/user/settings,,,GET,Valid
/login.php,lang=ar,username=admin&password=adminpass,POST,Valid
/register.php,id=1,login=john&pass=secret123,POST,Valid
/cart.php,,username=admin&password=adminpass,POST,Valid
/api/v1/auth/token,id=1&lang=en,title=Hello&body=World,POST,Valid
/static/js/app.js,user=john&role=admin,user=ayad&pwd=mypass,POST,Valid
/api/v1/auth/token,id=5,,GET,Valid
/assets/logo.png,,,GET,Valid
/static/js/app.js,id=1,username=john&password=pass123,POST,Valid
/news/article.php,page=about,,GET,Valid
/admin/panel.php,username=john&remember=1,title=Hello&body=World,POST,Valid
/api/orders,theme=dark,,GET,Valid
/assets/logo.png,page=1&limit=10,,GET,Valid
/search.php,user=john&role=admin,,GET,Valid
/shop/item,,user=ayad&pwd=mypass,POST,Valid
/blog/post.php,token=abc123,login=john&pass=secret123,POST,Valid
/api/orders,page=about,,GET,Valid
/news/article.php,lang=ar,username=john&password=pass123,POST,Valid
/robots.txt,,user=ayad&pwd=mypass,POST,Valid
/login.php,offset=0&count=20,,GET,Valid
/index.html,id=5,,GET,Valid
/user/profile,token=abc123,,GET,Valid
/shop/item,id=1,email=test@example.com&name=John,POST,Valid
/contact.php,username=john&remember=1,,GET,Valid
/index.html,username=john&remember=1,,GET,Valid
/static/js/app.js,,,GET,Valid
/assets/style.css,id=1&lang=en,email=test@example.com&name=John,POST,Valid
/contact.php,,,GET,Valid
/contact.php,,,GET,Valid
/robots.txt,,,GET,Valid
/products.php,,username=john&password=pass123,POST,Valid
/logout.php,lang=ar,,GET,Valid
/checkout.php,lang=ar,,GET,Valid
/cart.php,page=1&limit=10,,GET,Valid
/shop/item,,login=john&pass=secret123,POST,Valid
/favicon.ico,id=1,,GET,Valid
/search.php,id=5,comment=Nice+post&post_id=3,POST,Valid
/api/v2/data,user=john&role=admin,,GET,Valid
/assets/style.css,,,GET,Valid
/api/orders,q=hello+world,username=admin&password=adminpass,POST,Valid
/checkout.php,offset=0&count=20,,GET,Valid
/products.php,token=abc123,,GET,Valid
/robots.txt,token=abc123,user=ayad&pwd=mypass,POST,Valid
/news/article.php,,,GET,Valid
/index.php,id=2&name=product,username=admin&password=adminpass,POST,Valid
/search.php,filter=active,,GET,Valid
/shop/item,,email=test@example.com&name=John,POST,Valid
/shop/item,,login=john&pass=secret123,POST,Valid
/index.php,user=john&role=admin,title=Hello&body=World,POST,Valid
/sitemap.xml,,,GET,Valid
/shop/cart,,user=ayad&pwd=mypass,POST,Valid
/home.php,offset=0&count=20,,GET,Valid
/profile.php,username=john&remember=1,comment=Nice+post&post_id=3,POST,Valid
/robots.txt,,,GET,Valid
/api/orders,id=5,username=admin&password=adminpass,POST,Valid
/settings.php,filter=active,username=john&password=pass123,POST,Valid
/index.html,lang=ar,,GET,Valid
/checkout.php,,,GET,Valid
/news/article.php,page=about,,GET,Valid
/index.php,id=1&lang=en,,GET,Valid
/search.php,,email=test@example.com&name=John,POST,Valid
/robots.txt,offset=0&count=20,,GET,Valid
/about.php,token=abc123,,GET,Valid
/news/article.php,q=hello+world,,GET,Valid
/assets/style.css,id=1&lang=en,,GET,Valid
/blog/post.php,page=1&limit=10,,GET,Valid
/index.php,theme=dark,title=Hello&body=World,POST,Valid
/blog/post.php,username=john&remember=1,,GET,Valid
/home.php,,product_id=5&qty=2,POST,Valid
/login.php,,,GET,Valid
/cart.php,id=5,login=john&pass=secret123,POST,Valid
/register.php,filter=active,,GET,Valid
/settings.php,page=about,,GET,Valid
/profile.php,page=1&limit=10,,GET,Valid
/api/orders,id=2&name=product,,GET,Valid
/products.php,id=5,,GET,Valid
/settings.php,page=about,product_id=5&qty=2,POST,Valid
/robots.txt,,username=john&password=pass123,POST,Valid
/api/orders,username=john&remember=1,,GET,Valid
/register.php,filter=active,,GET,Valid
/user/settings,q=hello+world,comment=Nice+post&post_id=3,POST,Valid
/api/orders,id=5,,GET,Valid
/cart.php,theme=dark,,GET,Valid
/api/products,id=1&lang=en,,GET,Valid
/robots.txt,id=1,,GET,Valid
/api/orders,,,GET,Valid
/blog/post.php,q=hello+world,product_id=5&qty=2,POST,Valid
/api/users,page=about,title=Hello&body=World,POST,Valid
/contact.php,,title=Hello&body=World,POST,Valid
/user/settings,id=2&name=product,product_id=5&qty=2,POST,Valid
/about.php,page=about,,GET,Valid
/news/article.php,lang=ar,username=john&password=pass123,POST,Valid
/api/v1/auth/token,,,GET,Valid
/static/js/app.js,filter=active,,GET,Valid
/user/profile,,email=test@example.com&name=John,POST,Valid
/api/v2/data,id=1&lang=en,,GET,Valid
/favicon.ico,user=john&role=admin,login=john&pass=secret123,POST,Valid
/robots.txt,,comment=Nice+post&post_id=3,POST,Valid
/contact.php,page=about,username=john&password=pass123,POST,Valid
/products.php,id=1&lang=en,,GET,Valid
/shop/checkout,lang=ar,,GET,Valid
/api/users,offset=0&count=20,,GET,Valid
/api/users,id=5,title=Hello&body=World,POST,Valid
/shop/checkout,filter=active,,GET,Valid
/home.php,offset=0&count=20,,GET,Valid
/contact.php,,,GET,Valid
/api/v1/auth/token,,,GET,Valid
/api/products,,,GET,Valid
/contact.php,lang=ar,,GET,Valid
/user/settings,,,GET,Valid
/shop/cart,category=tech&sort=date,,GET,Valid
/static/js/app.js,username=john&remember=1,,GET,Valid
/login.php,theme=dark,,GET,Valid
/login.php,,,GET,Valid
/user/profile,filter=active,email=test@example.com&name=John,POST,Valid
/search.php,,,GET,Valid
/static/js/app.js,,login=john&pass=secret123,POST,Valid
/logout.php,id=5,,GET,Valid
/products.php,,,GET,Valid
/api/v1/auth/token,token=abc123,,GET,Valid
/favicon.ico,theme=dark,,GET,Valid
/settings.php,offset=0&count=20,comment=Nice+post&post_id=3,POST,Valid
/sitemap.xml,page=1&limit=10,username=john&password=pass123,POST,Valid
/cart.php,,comment=Nice+post&post_id=3,POST,Valid
/api/v2/data,,user=ayad&pwd=mypass,POST,Valid
/checkout.php,,username=admin&password=adminpass,POST,Valid
/index.html,,comment=Nice+post&post_id=3,POST,Valid
/static/js/app.js,user=john&role=admin,,GET,Valid
/login.php,lang=ar,,GET,Valid
/register.php,category=tech&sort=date,,GET,Valid
/admin/users.php,user=john&role=admin,,GET,Valid
/user/profile,token=abc123,,GET,Valid
/admin/users.php,offset=0&count=20,product_id=5&qty=2,POST,Valid
/static/css/main.css,token=abc123,,GET,Valid
